ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber
S804.50,1948 AMBERJACK TER,The Village of Pennecamp,Sumter,Broadmoor,359000,3,2,1392,"1 Car, plus Golf Car Garage",,28.88610954,-82.00569832,A,P,,246369
S803.66,2008 GOLDENROD CT,The Village of Pennecamp,Sumter,Foxglove,410000,3,2,1398,"1 Car, plus Golf Car Garage",,28.88333131,-82.00259206,A,P,3agu04bepFc,246441
S159.10,2484 TAMARIND GROVE RUN,The Village of Tamarind Grove,Sumter,Lilac,475000,3,2,1956,"2 Car, plus Golf Car Garage",,28.87292939,-82.0158949,A,P,,246745
S805.33,1803 APALACHEE AVE,The Village of Buttonwood,Sumter,Colony,279000,2,2,1156,"1 Car, plus Golf Car Garage",,28.88950168,-82.01712637,A,P,,245277
S170.281,1966 DALECROFT TRL,The Village of Buttonwood,Sumter,At Ease,429900,3,2,1488,"2 Car, plus Golf Car Garage",,28.88423619,-82.01706249,A,P,,245864
S812.41,2262 WADE MEADOW LN,The Village of Buttonwood,Sumter,Bonita,369999,3,2,1397,"1 Car, plus Golf Car Garage",,28.88036491,-82.01004831,A,P,,246792
S828.46,1159 CREEKSIDE DR,The Village of Bridgeport-Creekside Landing,Sumter,Bonita,595000,3,2,1623,,,28.90545012,-81.97693251,A,P,,245271
S828.122,1128 TALL PINE LN,The Village of Bridgeport-Creekside Landing,Sumter,Cumberland,539000,3,2,1685,"1 Car, plus Golf Car Garage",,28.90538323,-81.97855087,A,P,H6sh6I_v-ng,245770
S153.48,2572 EDENVILLE PATH,The Village of St. James,Sumter,Sandcastle,309900,3,2,1216,"1 Car, plus Golf Car Garage",,28.87043439,-82.0032515,A,P,,245711
S750.96,5121 NE 122ND LN,Bison Valley - Family Neighborhood,Sumter,Whispering Pine,425000,4,2,1924,2 Car Garage,,28.93399657,-82.01853206,A,P,H5nyv7ppDz8,245061
S948.4,3116 BLYTHILL LN,The Village of Sanibel,Sumter,Callaway,329000,2,2,1206,"1 Car, plus Golf Car Garage",,28.8582676,-81.97119539,A,P,,245428
S952.65,1483 OLYMPIA ST,The Village of Fernandina,Sumter,Colony,319900,2,2,1156,"1 Car, plus Golf Car Garage",,28.84969241,-81.98822782,A,P,,245542
S179.42,507 CALLAHAN DR,The Village of Charlotte,Sumter,Gardenia,524000,3,2,2030,"2 Car, plus Golf Car Garage",,28.85680908,-81.96093004,A,P,phr16sgX_Zc,246485
S196.99,3333 MAYFLOWER LOOP,The Village of Charlotte,Sumter,Cedar,595000,3,2,2205,"2 Car, plus Golf Car Garage",,28.8539585,-81.97059134,A,P,KHJiv6klw1o,246687
S199.39,3277 DALKEITH TER,The Village of Charlotte,Sumter,Aspen,799998,3,2,1938,"2 Car, plus Golf Car Garage",,28.85457463,-81.97401864,A,P,,246672
S947.8,3242 EVANSIDE LN,The Village of Charlotte,Sumter,Callaway,319000,2,2,1206,"1 Car, plus Golf Car Garage",,28.85457838,-81.96466407,A,P,,245503
S188.19,3646 ENTERPRISE DR,The Village of Charlotte,Sumter,Sanibel,1299000,3,2,3201,3 Car Garage,Swimming Pool,28.84493573,-81.96582998,A,P,rIDCLVP3RIU,245799
S210.107,2917 AMHERST WAY,The Village of Gilchrist,Sumter,Ivy,949000,4,2,2606,"2 Car, plus Golf Car Garage",,28.86295395,-81.98332972,A,P,,245188
